ProcessDataID	CodeName	cathodeMass																										
1012915	QA_85_14	18.136944																										
844856	QA_53_1	18.439984																										
231580	QA_13_1	28.08816																										
231766	QA_14_8	28.27398																										
844841	QA_55_14	18.932424																										
835681	QA_52_10	19.543854																										
185009	QA_1_3	28.09794																										
1028754	QA_98_8	18.591504																										
1032106	QA_100_12	18.184294																										
1040853	QA_104_14	18.335814																										
849019	QA_57_9	18.941894																										
845071	QA_56_12	19.419444																										
1025875	QA_97_9	18.278994																										
869222	QA_67_13	-12.04896																										
1038633	QA_99_8	18.193764																										
930805	QA_72_1	18.648324																										
1022207	QA_94_1	18.269524																										
930835	QA_72_7	18.629384																										
185030	QA_3_1	28.23486																										
844806	QA_55_7	18.856664																										
849421	QA_59_8	19.496004																										
868877	QA_65_8	29.22264																										
930865	QA_72_13	18.203234																										
1040803	QA_104_6	18.004364																										
1022087	QA_92_15	18.430514																										
849391	QA_59_1	19.333314																										
212261	QA_6_16	28.28376																										
870107	QA_70_14	-12.04896																										
1024413	QA_93_4	18.231644																										
1038588	QA_99_16	18.155884																										
1014124	QA_89_7	NULL																										
1025835	QA_97_1	18.269524																										
849513	QA_61_7	20.031924																										
1005211	QA_83_3	18.563094																										
931110	QA_73_14	18.610444																										
185153	QA_2_3	27.9708																										
1048342	QA_109_5	18.875604																										
835656	QA_52_5	19.476864																										
1022412	QA_95_1	18.307404																										
1025738	QA_96_13	18.534684																										
1048817	QA_111_4	18.960834																										
849523	QA_61_9	19.830954																										
871052	QA_69_11	-12.04896																										
231568	QA_12_6	28.22508																										
1012900	QA_85_15	18.534684																										
185024	QA_1_8	28.02948																										
1022037	QA_92_16	18.667264																										
848089	QA_62_12	18.941894																										
997752	QA_78_6	18.070654																										
231613	QA_13_5	28.35222																										
997657	QA_75_3	18.080124																										
995288	QA_80_6	18.212704																										
184994	QA_1_13	28.23486																										
998366	QA_81_13	18.193764																										
844946	QA_54_3	19.496004																										
1014189	QA_90_4	17.758144																										
845006	QA_54_15	19.696974																										
1042350	QA_105_2	17.966484																										
231772	QA_11_1	28.17618																										
870042	QA_70_1	28.72386																										
1025743	QA_96_4	18.345284																										
